"SYMBOL","OPEN","HIGH ","LOW","PREV. CLOSE","LTP ","CHNG","%CHNG","VOLUME (shares)",VALUE ,"52W H","52W L","365 D % CHNG 01-Sep-2020","30 D % CHNG 
 02-Aug-2021"
IDEA,6.2,7.25,6.15,6.1,7.2,1.1,18.03,736165238,"4,96,17,53,704.12",13.8,4.55,-31.07,-26.06
CONCOR,690,739.75,686,688.5,738.75,50.25,7.3,5136638,"3,69,45,26,881.50",748,351,71.46,-0.41
INDIAMART,"7,650.00","8,199.00","7,580.00","7,668.45","8,151.10",482.65,6.29,404029,"3,23,10,19,913.00","9,950.00","3,681.10",100.32,5.51
SHREECEM,"28,550.00","30,514.85","28,480.00","28,478.25","30,180.00","1,701.75",5.98,157100,"4,68,75,10,525.00","32,048.00","18,183.55",39.14,-2.79
HDFCLIFE,722.45,775.65,720,718.55,760,41.45,5.77,16281725,"12,28,79,80,674.75",775.65,555.95,24.04,7.19
ABFRL,208,220.85,208,208,218.9,10.9,5.24,5759274,"1,25,03,95,978.14",234.5,120.5,54.82,-7.35
EXIDEIND,171.3,180.65,168.7,170.05,178,7.95,4.68,20433437,"3,60,30,27,946.21",219.3,153.6,3.12,-3.38
POLYCAB,"2,135.00","2,222.00","2,110.10","2,126.65","2,214.30",87.65,4.12,873118,"1,90,28,29,713.30","2,222.00",798,141.01,13.98
LTTS,"3,905.10","4,068.00","3,891.05","3,901.80","4,056.05",154.25,3.95,423455,"1,69,30,19,670.05","4,068.00","1,464.10",154.27,6.96
MINDTREE,"3,625.00","3,780.00","3,592.10","3,601.15","3,739.65",138.5,3.85,1996771,"7,36,62,67,928.39","3,780.00","1,132.55",215.53,24.43
DIXON,"4,141.00","4,330.00","4,140.95","4,142.70","4,300.00",157.3,3.8,630735,"2,67,87,94,618.50","21,499.00","3,345.15",-50.06,-4.73
VOLTAS,"1,050.00","1,098.00","1,046.25","1,045.80","1,084.50",38.7,3.7,3411153,"3,67,59,26,695.86","1,132.00",625.6,64.69,-0.73
HAVELLS,"1,350.80","1,398.00","1,341.75","1,344.75","1,394.00",49.25,3.66,2971890,"4,07,90,08,181.70","1,398.00",608.45,116.67,13.47
CIPLA,927,960,923.4,922.85,955,32.15,3.48,3688123,"3,48,76,36,633.72",997,704.4,25.29,0.2
APLLTD,754.95,782,754.5,755.2,781.5,26.3,3.48,653911,"50,66,82,938.35","1,145.00",720.35,-17.77,-3.3
CUMMINSIND,"1,010.00","1,043.80","1,007.35","1,005.95","1,040.90",34.95,3.47,1457864,"1,49,95,88,067.68","1,043.80",425,117.69,16.91
