,symbol,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange
0,LTTS,4100,4437.3,4099,4329.05,4046.85,282.2,6.97
1,EXIDEIND,196,204.9,187.4,188.5,178.2,10.3,5.78
2,BEL,192,199.55,190.55,199.55,190.15,9.4,4.94
3,NATIONALUM,90,95.3,89.2,93.75,89.55,4.2,4.69
4,RELIANCE,2310,2395,2302.5,2389.65,2294.4,95.25,4.15
5,ONGC,119.95,123.5,118.8,123.4,118.65,4.75,4.0
6,JINDALSTEL,376,394,375.5,392.65,377.75,14.9,3.94
7,COALINDIA,141.9,147.15,141.75,146.6,141.6,5.0,3.53
8,HINDPETRO,267.2,276.65,266.3,276.1,266.7,9.4,3.52
9,MCX,1559.5,1625,1555,1598.15,1544.9,53.25,3.45
10,ICICIPRULI,681.7,708,679.05,698.9,676.1,22.8,3.37
11,HDFCAMC,3109,3199,3082.05,3197,3111.1,85.9,2.76
12,TITAN,1970.1,2024.4,1970.1,2021,1967.1,53.9,2.74
13,HAVELLS,1399,1434.65,1387,1429.5,1392.25,37.25,2.68
14,IOC,110.7,113.5,110.1,112.95,110.15,2.8,2.54
15,HEROMOTOCO,2732,2813.95,2732,2799,2730.35,68.65,2.51
16,BPCL,483,494,480.2,491.05,479.8,11.25,2.34
17,ZEEL,173,178.1,172.9,176.45,172.65,3.8,2.2
18,EICHERMOT,2738.65,2857,2713,2793,2733.2,59.8,2.19
19,AMBUJACEM,430.85,437.85,425.5,437.4,428.7,8.7,2.03
20,MPHASIS,2902,2976,2871.05,2946,2888.6,57.4,1.99
21,TVSMOTOR,530.8,545.75,529.5,540.15,530.15,10.0,1.89
22,SRF,10199,10380,10082,10340,10170.9,169.1,1.66
23,BOSCHLTD,14149.65,14344,14109.1,14316.3,14085.6,230.7,1.64
24,IPCALAB,2501,2556.6,2495.05,2530,2489.7,40.3,1.62
25,INDUSTOWER,220.85,230.8,220,223.8,220.25,3.55,1.61
26,PNB,37.5,38.55,37.5,38.05,37.45,0.6,1.6
